Наименование;Артикул;Цена;Документы;Характеристики;Количество
Концентратор беспроводных датчиков с внутренней антенной OptiSmart THM HUB1;392452;31992.98;Сайт https://keaz.ru/catalog/product/392452;;19
Концентратор беспроводных датчиков с внешней антенной OptiSmart THM HUB2;392455;85671.45;Сайт https://keaz.ru/catalog/product/392455;;50
Беспроводной датчик температуры на шину OptiSmart THM S1;392948;31992.98;Сайт https://keaz.ru/catalog/product/392948;;876
Беспроводной датчик температуры и влажности окружающей среды OptiSmart THM S2;392450;38433.43;Сайт https://keaz.ru/catalog/product/392450;;41
Беспроводной датчик частичных разрядов OptiSmart THM S3;392930;169624.99;Сайт https://keaz.ru/catalog/product/392930;;89
Блок автоматического ввода резерва OptiSave H-233-G-У3;285581;119052.48;"Сайт https://keaz.ru/catalog/product/285581
Каталог OptiSave https://files.keaz.ru/f/80886/catalog-optisave.pdf
Каталог Блок автоматического ввода резерва OptiSave H https://files.keaz.ru/f/14066/glava-kataloga-optisave-h.pdf
Паспорт OptiSave H-233-G https://files.keaz.ru/f/30335/ps-optisave-h-233-g-u3-gjik-648486.019ps.pdf
Руководство по эксплуатации OptiSave H-233-G https://files.keaz.ru/f/14067/rukovodstvo-po-ekspluatacii-optisave-h-233.pdf";;0
Блок автоматического ввода резерва OptiSave H-243-У3;281763;119052.48;"Сайт https://keaz.ru/catalog/product/281763
Каталог OptiSave https://files.keaz.ru/f/80886/catalog-optisave.pdf
Каталог Блок автоматического ввода резерва OptiSave H https://files.keaz.ru/f/14066/glava-kataloga-optisave-h.pdf
Руководство по эксплуатации OptiSave H-243 https://files.keaz.ru/f/14915/optisaveh-243-noviy.pdf";;0
Блок автоматического ввода резерва OptiSave H-233M-G-У3;345469;130957.24;"Сайт https://keaz.ru/catalog/product/345469
Каталог OptiSave https://files.keaz.ru/f/80886/catalog-optisave.pdf
Паспорт OptiSave H-233М https://files.keaz.ru/f/80887/passport-optisave-h-233m.pdf
Руководство по эксплуатации OptiSave H-233M-G https://files.keaz.ru/f/61650/rukovodstvo-po-ekspluatacii-optisave-h-233m-g.pdf";;0
Блок автоматического ввода резерва OptiSave H-243M-У3;345470;130957.24;"Сайт https://keaz.ru/catalog/product/345470
Каталог OptiSave https://files.keaz.ru/f/80886/catalog-optisave.pdf
Паспорт OptiSave H-243М https://files.keaz.ru/f/80888/passport-optisave-h-243m.pdf
Руководство по эксплуатации OptiSave H-243M https://files.keaz.ru/f/61649/rukovodstvo-po-ekspluatacii-optisave-h-243m.pdf";;107
Блок автоматического ввода резерва OptiSave L-220-УХЛ4;248974;29585.0;"Сайт https://keaz.ru/catalog/product/248974
Каталог OptiSave https://files.keaz.ru/f/80886/catalog-optisave.pdf
Каталог OptiSave https://files.keaz.ru/f/9570/optisave.pdf
Руководство по эксплуатации OptiSave L-220 https://files.keaz.ru/f/8501/rukovodstvo-optisave-l-220-a4-rabota.pdf";;135
Блок автоматического ввода резерва OptiSave L-230-УХЛ4;248956;29585.0;"Сайт https://keaz.ru/catalog/product/248956
Каталог OptiSave https://files.keaz.ru/f/80886/catalog-optisave.pdf
Каталог OptiSave https://files.keaz.ru/f/9570/optisave.pdf
Руководство по эксплуатации OptiSave L-230 https://files.keaz.ru/f/8502/rukovodstvo-optisave-l-230-a4-pravka.pdf";;54
Модуль защиты от коммутационных перенапряжений OptiSave-RC-УХЛ4;256303;2926.78;"Сайт https://keaz.ru/catalog/product/256303
Каталог OptiSave https://files.keaz.ru/f/80886/catalog-optisave.pdf
Руководство по эксплуатации RC-модуль OptiSave https://files.keaz.ru/f/11618/rukovodstvo-rc-modul-optisave-gjik-641200.190.pdf";;0
Комплект межполюсных перегородок OptiVerse SD 125 2P;390707;470.92;"Сайт https://keaz.ru/catalog/product/390707
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;30
Комплект межполюсных перегородок OptiVerse SD 125 3P;390708;904.02;"Сайт https://keaz.ru/catalog/product/390708
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;28
Комплект межполюсных перегородок OptiVerse SD 125 4P;390711;904.02;"Сайт https://keaz.ru/catalog/product/390711
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;30
Комплект межполюсных перегородок OptiVerse SD 250 3P;390709;1055.3;"Сайт https://keaz.ru/catalog/product/390709
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;26
Комплект межполюсных перегородок OptiVerse SD 250 4P;390712;1055.3;"Сайт https://keaz.ru/catalog/product/390712
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;30
Комплект межполюсных перегородок OptiVerse SD 400-630 3P;390710;1205.36;"Сайт https://keaz.ru/catalog/product/390710
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;30
Комплект межполюсных перегородок OptiVerse SD 400-630 4P;390713;1205.36;"Сайт https://keaz.ru/catalog/product/390713
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;21
Рукоять ручного оперирования OptiVerse SD 125-250;389153;462.38;"Сайт https://keaz.ru/catalog/product/389153
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;15
Рукоять ручного оперирования OptiVerse SD 400-630;389154;453.84;"Сайт https://keaz.ru/catalog/product/389154
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;19
Экран выносной с кабелем OptiVerse SD 125-630;389152;44838.66;"Сайт https://keaz.ru/catalog/product/389152
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;20
Устройство автоматического ввода резерва OptiVerse SD 125 2P;389087;74321.18;"Сайт https://keaz.ru/catalog/product/389087
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;1
Устройство автоматического ввода резерва OptiVerse SD 125 3P;389106;78232.5;"Сайт https://keaz.ru/catalog/product/389106
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;17
Устройство автоматического ввода резерва OptiVerse SD 125 4P;389121;89677.32;"Сайт https://keaz.ru/catalog/product/389121
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;2
Устройство автоматического ввода резерва OptiVerse SD 250 3P;389110;94241.34;"Сайт https://keaz.ru/catalog/product/389110
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;30
Устройство автоматического ввода резерва OptiVerse SD 250 4P;389122;101412.5;"Сайт https://keaz.ru/catalog/product/389122
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;5
Устройство автоматического ввода резерва OptiVerse SD 400 3P;389111;183762.5;"Сайт https://keaz.ru/catalog/product/389111
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;23
Устройство автоматического ввода резерва OptiVerse SD 400 4P;389150;202062.5;"Сайт https://keaz.ru/catalog/product/389150
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;4
Устройство автоматического ввода резерва OptiVerse SD 630 3P;389120;231075.32;"Сайт https://keaz.ru/catalog/product/389120
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;21
Устройство автоматического ввода резерва OptiVerse SD 630 4P;389151;260050.32;"Сайт https://keaz.ru/catalog/product/389151
Каталог OptiVerse SD https://files.keaz.ru/f/80852/katalog-optiverse-sd.pdf
Руководство по эксплуатации OptiVerse SD https://files.keaz.ru/f/80853/rukovodstvo-po-ekspluatacii-optiverse-sd.pdf
Паспорта OptiVerse SD https://files.keaz.ru/f/80856/pasporta-optiverse-sd.zip";;14
Гильза погружная OptiSensor TH-100;289264;2928.0;"Сайт https://keaz.ru/catalog/product/289264
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;33
Гильза погружная OptiSensor TH-150;289265;3391.6;"Сайт https://keaz.ru/catalog/product/289265
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;93
Гильза погружная OptiSensor TH-200;289266;3647.8;"Сайт https://keaz.ru/catalog/product/289266
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;25
Гильза погружная OptiSensor TH-50;289258;2543.7;"Сайт https://keaz.ru/catalog/product/289258
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;45
Фланец монтажный OptiSensor MF-6;285971;549.0;"Сайт https://keaz.ru/catalog/product/285971
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;258
Датчик температуры канальный OptiSensor HTF100-PT1000-PVC-2;286483;2836.5;"Сайт https://keaz.ru/catalog/product/286483
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;6
Датчик температуры канальный OptiSensor HTF150-PT1000-PVC-2;286494;3117.1;"Сайт https://keaz.ru/catalog/product/286494
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;74
Датчик температуры канальный OptiSensor HTF200-PT1000-PVC-2;286495;3348.9;"Сайт https://keaz.ru/catalog/product/286495
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;50
Датчик температуры канальный OptiSensor HTF50-PT1000-PVC-2;284695;2592.5;"Сайт https://keaz.ru/catalog/product/284695
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;0
Датчик температуры канальный OptiSensor TF65-PT1000-100;286502;5038.6;"Сайт https://keaz.ru/catalog/product/286502
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;86
Датчик температуры канальный OptiSensor TF65-PT1000-150;286503;5270.4;"Сайт https://keaz.ru/catalog/product/286503
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;20
Датчик температуры канальный OptiSensor TF65-PT1000-200;284732;5496.1;"Сайт https://keaz.ru/catalog/product/284732
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;22
Датчик температуры канальный OptiSensor TF65-PT1000-50;286501;4812.9;"Сайт https://keaz.ru/catalog/product/286501
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;21
Датчик температуры комнатный OptiSensor RTF1-PT1000;285969;3379.4;"Сайт https://keaz.ru/catalog/product/285969
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;70
Датчик температуры накладной OptiSensor ALTF1-PT1000-PVC-2;285966;3348.9;"Сайт https://keaz.ru/catalog/product/285966
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;1
Датчик температуры накладной OptiSensor ALTF2-PT1000;284731;4459.1;"Сайт https://keaz.ru/catalog/product/284731
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;222
