Наименование;Артикул;Цена;Документы;Характеристики;Количество
Датчик температуры наружный OptiSensor ATF1-PT1000;286500;4221.2;"Сайт https://keaz.ru/catalog/product/286500
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;99
Датчик температуры наружный OptiSensor ATF2-PT1000;284730;4459.1;"Сайт https://keaz.ru/catalog/product/284730
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;28
Датчик температуры погружной OptiSensor ESTF-PT1000-100-PVC-2;286497;5270.4;"Сайт https://keaz.ru/catalog/product/286497
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;83
Датчик температуры погружной OptiSensor ESTF-PT1000-150-PVC-2;286498;5496.1;"Сайт https://keaz.ru/catalog/product/286498
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;73
Датчик температуры погружной OptiSensor ESTF-PT1000-200-PVC-2;286499;5727.9;"Сайт https://keaz.ru/catalog/product/286499
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;40
Датчик температуры погружной OptiSensor ESTF-PT1000-50-PVC-2;285967;5038.6;"Сайт https://keaz.ru/catalog/product/285967
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;167
Датчик температуры погружной OptiSensor ESTF-PT1000-80-PVC-2;286496;5178.9;"Сайт https://keaz.ru/catalog/product/286496
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;106
Датчик температуры погружной OptiSensor ETF2-PT1000-100;286505;5965.8;"Сайт https://keaz.ru/catalog/product/286505
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;32
Датчик температуры погружной OptiSensor ETF2-PT1000-150;286506;6301.3;"Сайт https://keaz.ru/catalog/product/286506
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;47
Датчик температуры погружной OptiSensor ETF2-PT1000-200;286507;6527.0;"Сайт https://keaz.ru/catalog/product/286507
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;27
Датчик температуры погружной OptiSensor ETF2-PT1000-50;286504;4642.1;"Сайт https://keaz.ru/catalog/product/286504
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;22
Датчик температуры погружной OptiSensor ETF2-PT1000-80;285970;4843.4;"Сайт https://keaz.ru/catalog/product/285970
Каталог OptiSensor https://files.keaz.ru/f/17050/katalog-optisensor.pdf
Руководство по эксплуатации OptiSensor https://files.keaz.ru/f/15257/re-optisensor-gjik-405211.001re.pdf";;57
Блок питания OptiPower DR-120-24-1;284548;5752.42;"Сайт https://keaz.ru/catalog/product/284548
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 5;1261
Блок питания OptiPower DR-15-24-1;284543;2211.37;"Сайт https://keaz.ru/catalog/product/284543
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 0.63;2570
Блок питания OptiPower DR-30-24-1;284544;2364.51;"Сайт https://keaz.ru/catalog/product/284544
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 1.25;2174
Блок питания OptiPower DR-45-24-1;284545;2513.54;"Сайт https://keaz.ru/catalog/product/284545
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 2;3058
Блок питания OptiPower DR-60-24-1;284546;3347.8;"Сайт https://keaz.ru/catalog/product/284546
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 2.5;1373
Блок питания OptiPower DR-75-24-1;284547;4768.61;"Сайт https://keaz.ru/catalog/product/284547
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 3.1;629
Блок питания OptiPower DRP-240-24-1;284549;10889.96;"Сайт https://keaz.ru/catalog/product/284549
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 10;596
Блок питания панельный OptiPower LRS 100-12 8.5A;328878;1978.6;"Сайт https://keaz.ru/catalog/product/328878
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 8.5;1308
Блок питания панельный OptiPower LRS 100-24 4.5A;328879;1978.6;"Сайт https://keaz.ru/catalog/product/328879
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 4.5;1770
Блок питания панельный OptiPower LRS 120-12 10A;328880;2176.24;"Сайт https://keaz.ru/catalog/product/328880
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 10;560
Блок питания панельный OptiPower LRS 120-24 5A;328881;2176.24;"Сайт https://keaz.ru/catalog/product/328881
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 5;592
Блок питания панельный OptiPower LRS 150-12 12.5A;328882;2593.72;"Сайт https://keaz.ru/catalog/product/328882
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 12.5;599
Блок питания панельный OptiPower LRS 150-24 6.5A;328883;2593.72;"Сайт https://keaz.ru/catalog/product/328883
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 6.5;1747
Блок питания панельный OptiPower LRS 200-12 17A;328884;3843.0;"Сайт https://keaz.ru/catalog/product/328884
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 17;914
Блок питания панельный OptiPower LRS 200-24 8.8A;328885;3843.0;"Сайт https://keaz.ru/catalog/product/328885
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 8.8;983
Блок питания панельный OptiPower LRS 250-12 21A;328886;4138.36;"Сайт https://keaz.ru/catalog/product/328886
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 20;1326
Блок питания панельный OptiPower LRS 250-24 10.4A;328887;4368.27;"Сайт https://keaz.ru/catalog/product/328887
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 10;926
