Наименование;Артикул;Замена;АЗамена
Переключатель нагрузки с мотор-приводом OptiSwitch D-C4-630-4P-M-H;145478;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C4-800-3P-M-H;145479;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C4-800-4P-M-H;145480;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-800-3P-M-H;145481;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-800-4P-M-H;145482;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-1000-3P-M-H;145483;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-1000-4P-M-H;145484;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-1250-3P-M-H;145485;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-1250-4P-M-H;145486;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-1600-3P-M-H;145487;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-1600-4P-M-H;145488;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-2000-3P-M-H;145489;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-2000-4P-M-H;145490;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-2500-3P-M-H;145491;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-2500-4P-M-H;145492;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-3150-3P-M-H;145493;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C5-3150-4P-M-H;145494;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C6-1600-3P-M-H;145495;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C6-1600-4P-M-H;145496;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C6-2000-3P-M-H;145497;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C6-2000-4P-M-H;145498;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C6-2500-3P-M-H;145499;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C6-2500-4P-M-H;145500;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C6-3150-3P-M-H;145501;;
Переключатель нагрузки с мотор-приводом OptiSwitch D-C6-3150-4P-M-H;145502;;
Выключатель автоматический ВА57-35-331810-250А-750-690AC-НР110AC/DC-УХЛ3-КЭАЗ;145621;;
Выключатель автоматический ВА57-35-332310-250А-1250-690AC-РМН230AC/220DC-УХЛ3-КЭАЗ;145699;;
Рукоятка круглая на дверцу шкафа чёрная OptiSwitch D-L1/L2;145882;;
Рукоятка круглая на дверцу шкафа аварийная OptiSwitch D-L1/L2;145883;;
Рукоятка квадратная на дверцу шкафа чёрная Optiswitch D-L3;145884;;
Рукоятка с механизмом снятия блокировки чёрная OptiSwitch D-L1/L2/L3;145886;;
Рукоятка круглая на дверцу шкафа аварийная с кольцом OptiSwitch D-L1/L2;145889;;
Рукоятка квадратная на дверцу шкафа чёрная с кольцом OptiSwitch D-L1/L2/L3, D-LC1/LC2;145890;;
Рукоятка с механизмом снятия блокировки чёрная с кольцом OptiSwitch D-L1/L2/L3;145892;;
Рукоятка с механизмом снятия блокировки аварийная с кольцом OptiSwitch D-L1/L2/L3;145893;;
Шток 200мм OptiSwitch D-L1/L2/L3, D-LC1/LC2;145895;;
Полюс заземления OptiSwitch D-L1;145901;;
Полюс заземления OptiSwitch D-L2;145902;;
Полюс заземления OptiSwitch D-L3;145903;;
Полюс нейтрали неразрывный OptiSwitch D-L3;145906;;
Рукоятка дверная аварийная OptiSwitch D-6;145985;;
Рукоятка дверная двойная аварийная OptiSwitch D-6;145986;;
Замок на рукоятку с защитным экраном OptiSwitch D-5-1600-2000A/D-6;145990;;
Замок на рукоятку с защитным экраном OptiSwitch D-6-2500A;145992;;
Замок на рукоятку с защитным экраном OptiSwitch D-6-3150A;145993;;
Рукоятка дверная с механизмом снятия блокировки OptiSwitch D-6;145995;;
Рукоятка дверная аварийная с механизмом снятия блокировки OptiSwitch D-6;145997;;
Экран защитный OptiSwitch D-1;146003;;
Экран защитный OptiSwitch D-2;146004;;
Планка предохранительная OptiSwitch D-2;146011;;
Планка предохранительная OptiSwitch D-3;146012;;
Рукоятка дверная аварийная OptiSwitch D-1/2;146070;;
Рукоятка дверная аварийная OptiSwitch D-3/4;146072;;
Рукоятка дверная аварийная OptiSwitch D-5;146074;;
Рукоятка дверная двойная аварийная OptiSwitch D-5;146075;;
Рукоятка выносная аварийная OptiSwitch D-1/2;146081;;
Рукоятка выносная аварийная OptiSwitch D-3/4;146083;;
Шток 400мм OptiSwitch D-1/2;146097;;
Шток 400мм OptiSwitch D-3/4/5/6;146099;;
Шток удлинительный 400мм OptiSwitch D-1/2;146103;;
Шток удлинительный 400мм OptiSwitch D-3/4/5/6;146105;;
Замок на рукоятку с защитным экраном OptiSwitch D-1;146114;;
Замок на рукоятку с защитным экраном OptiSwitch D-2;146115;;
Замок на рукоятку с защитным экраном OptiSwitch D-3;146116;;
Замок на рукоятку с защитным экраном OptiSwitch D-4;146117;;
Замок на рукоятку с защитным экраном OptiSwitch D-5;146118;;
Рукоятка дверная c ключом OptiSwitch D-1/2/3/4;146119;;
Рукоятка дверная c ключом OptiSwitch D-5;146123;;
Рукоятка дверная двойная c ключом OptiSwitch D-5;146124;;
Рукоятка дверная с механизмом снятия блокировки OptiSwitch D-1/2;146125;;
Рукоятка дверная с механизмом снятия блокировки OptiSwitch D-3/4;146127;;
Рукоятка дверная с механизмом снятия блокировки OptiSwitch D-5;146129;;
Рукоятка дверная аварийная с механизмом снятия блокировки OptiSwitch D-3/4;146132;;
Рукоятка дверная аварийная с механизмом снятия блокировки OptiSwitch D-5;146134;;
Стойки изолирующие OptiSwitch D-1;146162;;
Стойки изолирующие OptiSwitch D-3;146164;;
Полюс 4-й OptiSwitch D-L1;146207;;
Полюс 4-й OptiSwitch D-L2;146208;;
Контакт дополнительный с втычными клеммами OptiSwitch D-L1/L2/L3, D-LC1/LC2;146211;;
Набор клеммных крышек на 3 полюса OptiSwitch D-L1;146213;;
Набор клеммных крышек на 3 полюса OptiSwitch D-L2;146214;;
Набор клеммных крышек на 4-й полюс OptiSwitch D-L1;146215;;
Набор клеммных крышек на 4-й полюс OptiSwitch D-L2;146216;;
Рукоятка дверная с защитным экраном OptiSwitch D-C2;146441;;
Рукоятка дверная с защитным экраном OptiSwitch D-C3;146442;;
Рукоятка дверная двойная с защитным экраном OptiSwitch D-C5/С6;146444;;
Рукоятка дверная без защитного экрана D-C1 ;146446;;
Рукоятка дверная без защитного экрана D-C3 ;146448;;
Рукоятка дверная двойная без защитного экрана D-C6;146451;;
Крышка клеммная верхняя OptiSwitch D-C5-1600A;146458;;
Крышка клеммная нижняя OptiSwitch D-C5-1600A;146459;;
Рукоятка дверная OptiSwitch D-C1/С2/С3;146514;;
Рукоятка дверная двойная OptiSwitch D-C5;146518;;
Рукоятка дверная с защитным экраном OptiSwitch D-FC1;146519;;
Рукоятка дверная с защитным экраном OptiSwitch D-FC2;146520;;
Рукоятка дверная с защитным экраном OptiSwitch D-FC3;146521;;
Рукоятка дверная с защитным экраном OptiSwitch D-FC4;146522;;
Рукоятка дверная с защитным экраном OptiSwitch D-FC5;146523;;
Рукоятка дверная с запиранием в 0 точке OptiSwitch D-C1/C2/C3;146524;;
Экран защитный OptiSwitch D-FC1;146529;;
Экран защитный OptiSwitch D-FC2;146530;;
Экран защитный OptiSwitch D-FC3;146531;;
Экран защитный OptiSwitch D-FC4;146532;;
Экран защитный OptiSwitch D-FC5;146533;;
Шток удлинительный 100мм OptiSwitch D-3/4/5/6;146535;;
Шток удлинительный 200мм OptiSwitch D-1/2;146538;;
Шток удлинительный 200мм OptiSwitch D-3/4/5/6;146540;;
Шток удлинительный 300мм OptiSwitch D-3/4/5/6;146545;;
Контакт дополнительный OptiSwitch D-С1/C2(2NO+2NC);146553;;
Крышка клеммная верхняя OptiSwitch D-2;146559;;
Крышка клеммная верхняя OptiSwitch D-3;146560;;
Крышка клеммная нижняя OptiSwitch D-1;146563;;
Крышка клеммная нижняя OptiSwitch D-3;146565;;
Выключатель автоматический ВА57-35-644510-250А-750-440DC-УХЛ3-КЭАЗ;146727;;
Выключатель автоматический ВА57-35-641210-200А-1000-440DC-НР230AC/220DC-УХЛ3-КЭАЗ;146797;;
Выключатель автоматический ВА57-35-641210-160А-800-440DC-НР230AC/220DC-УХЛ3-КЭАЗ;146798;;
Переключатель OptiSwitch 4G10-136-U-S18-R014;146845;;
Патрон ПТ-1.2-10-50-20-У1-КЭАЗ;146863;;
Шток 200мм OptiSwitch D-1/2;146868;;
Рукоятка дверная с защитным экраном OptiSwitch D-F1;146870;;
Рукоятка дверная с защитным экраном OptiSwitch D-F2;146871;;
Рукоятка двойная с защитным экраном OptiSwitch D-F5;146875;;
Пускатель ПМЛ-1220-10А-380AC-(1,25-2А)-УХЛ3-Б-КЭАЗ;146924;;
Патрон ПТ-1.2-10-40-20-У1-КЭАЗ;147018;;
Выключатель автоматический ВА57-35-342315-250А-2500-690AC-РМН230AC-УХЛ3-КЭАЗ;147235;;
Выключатель нагрузки OptiSwitch D-5-3150-3P;147294;;
Выключатель нагрузки OptiSwitch D-5-1600-4P;147295;;
Выключатель нагрузки OptiSwitch D-5-2000-4P;147296;;
Выключатель нагрузки OptiSwitch D-5-2500-4P;147297;;
Выключатель нагрузки OptiSwitch D-5-3150-4P;147298;;
Выключатель нагрузки с мотор-приводом OptiSwitch D-4-800-4P-M;147300;;
Выключатель нагрузки с мотор-приводом OptiSwitch D-5-1600-3P-M;147301;;
Выключатель нагрузки с мотор-приводом OptiSwitch D-5-1600-4P-M;147302;;
Выключатель нагрузки с мотор-приводом OptiSwitch D-5-2000-3P-M;147303;;
Выключатель нагрузки с мотор-приводом OptiSwitch D-5-2000-4P-M;147304;;
Выключатель нагрузки с мотор-приводом OptiSwitch D-5-2500-3P-M;147305;;
Выключатель нагрузки с мотор-приводом OptiSwitch D-5-2500-4P-M;147306;;
Выключатель нагрузки с мотор-приводом OptiSwitch D-5-3150-3P-M;147307;;
Выключатель нагрузки с мотор-приводом OptiSwitch D-5-3150-4P-M;147308;;
Рукоятка 426-4700-061;147411;;
Вал 406-4750-205;147428;;
Вал 406-4750-221;147434;;
Вал 406-4750-223;147436;;
Вал 406-4750-224;147437;;
Переключатель OptiSwitch 4G40-109-U-R214;147519;;
Переключатель OptiSwitch 4G40-124-U-R214;147525;;
Переключатель OptiSwitch 4G40-125-U-R214;147526;;
Переключатель OptiSwitch 4G40-136-U-R214;147532;;
Переключатель OptiSwitch 4G40-137-U-R214;147533;;
Выключатель автоматический ВА57-39-844610-320А-2500-220DC-УХЛ3-КЭАЗ;147558;;
Выключатель автоматический ВА57-35-631115-250А-1000-440DC-УХЛ3-КЭАЗ;147860;;
Выключатель автоматический ВА57-39-631115-630А-1000-440DC-УХЛ3-КЭАЗ;148689;;
Выключатель автоматический ВА57-35-341815-200А-2000-690AC-НР24DC-УХЛ3-КЭАЗ;148919;;
Пускатель ПМЛ-2220-25А-48AC-(17-25А)-УХЛ3-Б-КЭАЗ;148984;;
Переключатель OptiSwitch 4G10-203-U-R114;149024;;
Выключатель автоматический ВА57-39-341215-400А-4000-690AC-НР400AC-УХЛ3-КЭАЗ;149032;;
Выключатель автоматический ВА57-39-340015-400А-1600-690AC-УХЛ3-КЭАЗ;149057;;
Выключатель автоматический ВА57-35-840010-16А-125-220DC-УХЛ3-КЭАЗ;149184;;
Патрон Е27 карболитовый-настенный-IP20-КЭАЗ (в упк 190шт);149244;;
Выключатель автоматический ВА57-35-821810-16А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;149252;;
Выключатель автоматический ВА57-35-844650-40А-500-220DC-УХЛ3-КЭАЗ;149253;;
Выключатель автоматический ВА57-35-821810-160А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;149254;;
Выключатель автоматический ВА57-35-345415-250А-2500-690AC-РНН230AC-УХЛ3-КЭАЗ;149412;;
Выключатель автоматический ВА57-35-345415-125А-1250-690AC-РНН230AC-УХЛ3-КЭАЗ;149414;;
Выключатель автоматический ВА57-35-345415-100А-1250-690AC-РНН230AC-УХЛ3-КЭАЗ;149415;;
Выключатель автоматический ВА57-35-345415-200А-2000-690AC-РНН230AC-УХЛ3-КЭАЗ;149418;;
Выключатель автоматический ВА57-35-345415-160А-2000-690AC-РНН230AC-УХЛ3-КЭАЗ;149419;;
Шайба внешнезубчатая М3 33-2036030-1;149612;;
Плитка основная ККМ2-115 446-4722-013 ;149665;;
Выключатель автоматический ВА57-35-830010-250А-2500-220DC-УХЛ3-КЭАЗ;150063;;
Выключатель автоматический ВА57-39-334710-630А-1250-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;150132;;
Выключатель автоматический ВА57-35-821810-31,5А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;150497;;
Выключатель автоматический ВА57-35-644510-16А-320-440DC-УХЛ3-КЭАЗ;150777;;
Выключатель автоматический ВА57-39-331510-630А-5000-690AC-РНН110AC/DC-УХЛ3-КЭАЗ;150856;;
Выключатель автоматический ВА57-35-331510-250А-2500-690AC-РНН110AC/DC-УХЛ3-КЭАЗ;150858;;
Соединитель пластик 406-4750-049;150915;;
Вал 406-4750-206;150973;;
Вал 406-4750-208;150974;;
Вал 406-4750-210;150976;;
Вал 406-4750-228;150980;;
Вал 406-4750-233;150981;;
Вал 406-4750-238;150982;;
Выключатель автоматический ВА21-29-341810-50А-6Iн-400AC-НР400AC/DC-IP54-У2-АЭС-КЭАЗ;151084;;
Вал 406-4750-213;151119;;
Выключатель автоматический ВА57-35-644650-100А-1000-440DC-УХЛ3-КЭАЗ;151416;;
Выключатель автоматический ВА57-35-341815-63А-800-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;217079;;
Выключатель автоматический ВА57-39-341815-320А-3200-690AC-НР110DC-УХЛ3-КЭАЗ;217104;;
Выключатель автоматический ВА57-39-331810-630А-2500-690AC-НР24DC-УХЛ3-КЭАЗ;217362;;
Выключатель автоматический ВА57-35-841810-125А-1250-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;217502;;
Выключатель автоматический ВА57-35-840010-200А-2000-690AC-УХЛ3-КЭАЗ;217503;;
Переключатель OptiSwitch 4G63-10-S7-S18-R212;217523;;
Переключатель OptiSwitch 4G63-124-U-R214;218016;;
Переключатель OptiSwitch 4G63-136-U-R212;218067;;
Переключатель OptiSwitch 4G63-136-U-S18-R212;218068;;
Выключатель автоматический ВА57-39-341815-630А-4000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;218359;;
Переключатель OptiSwitch 4G40-56-U-S18-R214;218553;;
Выключатель автоматический ВА57-31-841810-100А-500-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;218846;;
Выключатель автоматический ВА57-35-841816-160А-800-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;218894;;
Выключатель автоматический ВА57-35-841810-200А-1000-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;218921;;
Вал 406-4750-216;218922;;
Выключатель автоматический ВА57-35-840010-63А-800-220DC-УХЛ3-АЭС-КЭАЗ;218983;;
Выключатель автоматический ВА57-35-341215-250А-2500-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;219107;;
Выключатель автоматический ВА57-39-345415-630А-5000-690AC-РНН230AC-УХЛ3-КЭАЗ;219199;;
Ограничитель импульсных перенапряжений (УЗИП) OptiDin OM-II-0-280/40;219206;;
Выключатель автоматический ВА57-35-344715-200А-1600-690AC-НР110DC-УХЛ3-КЭАЗ;219353;;
Выключатель автоматический ВА57-39-641115-500А-1600-440DC-УХЛ3-КЭАЗ;219529;;
Выключатель автоматический ВА57-35-341310-16А-200-690AC-РМН400AC-УХЛ3-КЗ№6-КЭАЗ;219712;;
Выключатель автоматический ВА57-35-341310-25А-320-690AC-РМН400AC-УХЛ3-КЗ№6-КЭАЗ;219713;;
Выключатель автоматический ВА57-35-341310-100А-1250-690AC-РМН400AC-УХЛ3-КЗ№6-КЭАЗ;219714;;
Выключатель автоматический ВА57-35-341310-160А-2000-690AC-РМН400AC-УХЛ3-КЗ№6-КЭАЗ;219715;;
Выключатель автоматический ВА57-39-841110-400А-4000-690AC-УХЛ3-КЭАЗ;219797;;
Выключатель автоматический ВА57-35-341815-200А-1600-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;219837;;
Выключатель автоматический ВА57-35-344715-16А-160-690AC-НР110DC-УХЛ3-КЭАЗ;219907;;
Выключатель автоматический ВА57-35-331815-250А-1600-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;220029;;
Выключатель автоматический АП50Б-3МТ-10А-10Iн-400AC-2П-IP54Ф-У2-КЭАЗ;220124;;
Выключатель автоматический АП50Б-3МТ-10А-3,5Iн-400AC-2П-IP54Ф-У2-КЭАЗ;220125;;
Выключатель автоматический АП50Б-3МТ-16А-3,5Iн-400AC-2П-IP54Ф-У2-КЭАЗ;220126;;
Вал 406-4750-211;220234;;
Выключатель автоматический ВА57-35-621810-40А-440DC-НР230AC/220DC-УХЛ3-КЭАЗ;220340;;
Выключатель автоматический ВА57-39-331830-630А-5000-690AC-НР400AC-ПЭ400AC-УХЛ3-КЭАЗ;220341;;
Выключатель автоматический ВА57-31-841810-16А-500-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;220369;;
Выключатель автоматический ВА57-35-641810-16А-320-440DC-НР230AC/220DC-УХЛ3-КЭАЗ;220370;;
Выключатель автоматический ВА57-35-834750-250А-750-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;220371;;
Выключатель автоматический ВА57-39-334716-630А-5000-690AC-НР400AC-УХЛ3-КЭАЗ;220373;;
Выключатель автоматический ВА57-35-331815-250А-1600-690AC-НР110DC-УХЛ3-КЭАЗ;220504;;
Комплект зажимов ВА57Ф31-63..100А-УХЛ3-КЭАЗ (кол-во зажимов 3шт) ;220545;;
Выключатель автоматический ВА57-39-840010-320А-1250-690AC-УХЛ3-КЭАЗ;220699;;
Выключатель автоматический ВА57-35-341815-200А-1600-690AC-НР110DC-УХЛ3-КЭАЗ;220737;;
Выключатель автоматический ВА51-39-344510-320А-3200-690AC-УХЛ3-КЭАЗ;220785;;
Выключатель автоматический ВА51-39-340015-250А-1000-690AC-УХЛ3-КЭАЗ;220789;;
Выключатель автоматический ВА51-39-340015-250А-2500-690AC-УХЛ3-КЭАЗ;220790;;
Выключатель автоматический ВА51-39-341210-400А-1000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;220796;;
Выключатель автоматический ВА51-39-341115-250А-1250-690AC-УХЛ3-КЭАЗ;220816;;
Выключатель автоматический ВА51-39-341510-400А-1000-690AC-РНН230AC-УХЛ3-КЭАЗ;220831;;
Выключатель автоматический ВА51-39-341810-400А-1000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;220845;;
Выключатель автоматический ВА51-39-341810-400А-1000-690AC-НР400AC-УХЛ3-КЭАЗ;220846;;
Выключатель автоматический ВА51-39-340010-500А-1000-690AC-УХЛ3-КЭАЗ;220858;;
Выключатель автоматический ВА51-39-340015-320А-1600-690AC-УХЛ3-КЭАЗ;220875;;
Выключатель автоматический ВА51-39-340015-320А-2500-690AC-УХЛ3-КЭАЗ;220876;;
Выключатель автоматический ВА51-39-340015-320А-3200-690AC-УХЛ3-КЭАЗ;220877;;
Выключатель автоматический ВА51-39-340015-400А-1600-690AC-УХЛ3-КЭАЗ;220878;;
Выключатель автоматический ВА51-39-340015-400А-2000-690AC-УХЛ3-КЭАЗ;220879;;
Выключатель автоматический ВА51-39-340015-400А-4000-690AC-УХЛ3-КЭАЗ;220880;;
Выключатель автоматический ВА51-39-344710-400А-1000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;220889;;
Выключатель автоматический ВА51-39-344710-400А-1000-690AC-НР24DC-УХЛ3-КЭАЗ;220890;;
Выключатель автоматический ВА51-39-341815-250А-2500-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;220902;;
Выключатель автоматический ВА51-39-341115-320А-1600-690AC-УХЛ3-КЭАЗ;220903;;
Выключатель автоматический ВА51-39-341115-400А-1600-690AC-УХЛ3-КЭАЗ;220904;;
Выключатель автоматический ВА51-39-341210-500А-1000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;220912;;
Выключатель автоматический ВА51-39-341110-500А-1000-690AC-УХЛ3-КЭАЗ;220919;;
Выключатель автоматический ВА51-39-341215-400А-4000-690AC-НР400AC-УХЛ3-КЭАЗ;220931;;
Выключатель автоматический ВА51-39-341115-400А-4000-690AC-УХЛ3-КЭАЗ;220937;;
Выключатель автоматический ВА51-39-341315-320А-3200-690AC-РМН230AC-УХЛ3-КЭАЗ;220968;;
Выключатель автоматический ВА51-39-345615-250А-2500-690AC-РМН230AC-УХЛ3-КЭАЗ;220969;;
Выключатель автоматический ВА51-39-341815-320А-3200-690AC-НР110DC-УХЛ3-КЭАЗ;220976;;
Выключатель автоматический ВА51-39-341815-400А-2500-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;220977;;
Выключатель автоматический ВА51-39-341815-400А-4000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;220978;;
Выключатель автоматический ВА51-39-340015-500А-5000-690AC-УХЛ3-КЭАЗ;220979;;
Выключатель автоматический ВА51-39-340015-630А-5000-690AC-УХЛ3-КЭАЗ;220980;;
Выключатель автоматический ВА51-39-342315-320А-3200-690AC-РМН24AC-УХЛ3-КЭАЗ;221003;;
Выключатель автоматический ВА51-39-342315-400А-4000-690AC-РМН24AC-УХЛ3-КЭАЗ;221004;;
Выключатель автоматический ВА51-39-341115-630А-5000-690AC-УХЛ3-КЭАЗ;221007;;
Выключатель автоматический ВА51-39-344615-630А-2500-690AC-УХЛ3-КЭАЗ;221008;;
Выключатель автоматический ВА51-39-344615-630А-5000-690AC-УХЛ3-КЭАЗ;221009;;
Выключатель автоматический ВА51-39-345615-320А-3200-690AC-РМН230AC-УХЛ3-КЭАЗ;221010;;
Выключатель автоматический ВА51-39-345615-400А-4000-690AC-РМН230AC-УХЛ3-КЭАЗ;221011;;
Выключатель автоматический ВА51-39-341815-630А-4000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;221012;;
Выключатель автоматический ВА51-39-341815-630А-5000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;221013;;
Выключатель автоматический ВА51-39-344715-500А-2000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;221014;;
Выключатель автоматический ВА51-39-344715-630А-2000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;221015;;
Выключатель автоматический ВА51-39-344715-630А-5000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;221016;;
Выключатель автоматический ВА51-39-342315-630А-5000-690AC-РМН400AC-УХЛ3-КЭАЗ;221017;;
Выключатель автоматический ВА51-39-345415-630А-5000-690AC-РНН230AC-УХЛ3-КЭАЗ;221018;;
Выключатель автоматический ВА51-39-342530-400А-1000-690AC-РНН400AC-ПЭ230AC-УХЛ3-КЭАЗ;221022;;
Выключатель автоматический ВА51-39-341130-400А-1000-690AC-ПЭ230AC-УХЛ3-КЭАЗ;221036;;
Выключатель автоматический ВА51-39-344630-400А-1000-690AC-ПЭ230AC-УХЛ3-КЭАЗ;221045;;
Выключатель автоматический ВА51-39-341830-400А-1000-690AC-НР230AC/220DC-ПЭ230AC-УХЛ3-КЭАЗ;221054;;
Выключатель автоматический ВА51-39-344730-400А-1000-690AC-НР230AC/220DC-ПЭ230AC-УХЛ3-КЭАЗ;221065;;
Выключатель автоматический ВА51-39-342530-400А-1000-690AC-РНН230AC-ПЭ230AC-УХЛ3-КЭАЗ;221071;;
Выключатель автоматический ВА51-39-341130-500А-1000-690AC-ПЭ230AC-УХЛ3-КЭАЗ;221073;;
Комплект переходных шин для алюминиевых проводников ВА51-39-УХЛ3-КЭАЗ (кол-во шин 3шт и тар шайб 3шт) ;221275;;
Выключатель нагрузки ВНК-42-31131-1250А-IP32-УХЛ3-КЭАЗ;221291;;
Выключатель автоматический ВА57-35-331815-250А-750-690AC-НР24DC-УХЛ3-КЭАЗ;221366;;
Выключатель автоматический ВА57-35-341815-160А-2000-690AC-НР110DC-УХЛ3-КЭАЗ;221367;;
Выключатель автоматический ВА57-35-341210-31,5А-100-690AC-НР400AC-УХЛ3-КЗ№6-КЭАЗ;221370;;
Выключатель автоматический ВА57-35-341210-31,5А-320-690AC-НР400AC-УХЛ3-КЗ№6-КЭАЗ;221371;;
Выключатель автоматический ВА57-35-344715-200А-2500-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;221489;;
Трансформатор масляный герметичный ТМГ-100/6-УХЛ1 6/0,4 У/Ун-0;221515;;
не использовать Трансформатор масляный герметичный ТМГ-160/6-УХЛ1 6/0,4 У/Ун-0;221516;;
не использовать Трансформатор масляный герметичный ТМГ-250/6-УХЛ1 6/0,4 У/Ун-0;221517;;
не использовать Трансформатор масляный герметичный ТМГ-400/6-УХЛ1 6/0,4 У/Ун-0;221518;;
не использовать Трансформатор масляный герметичный ТМГ-630/6-УХЛ1 6/0,4 У/Ун-0;221519;;
Трансформатор масляный герметичный ТМГ-1000/6-УХЛ1 6/0,4 У/Ун-0;221520;;
не использовать Трансформатор масляный герметичный ТМГ-1250/6-УХЛ1 6/0,4 У/Ун-0;221521;;
не использовать Трансформатор масляный герметичный ТМГ-1600/6-УХЛ1 6/0,4 У/Ун-0;221522;;
Трансформатор масляный герметичный ТМГ-100/10-УХЛ1 10/0,4 У/Ун-0;221523;;
Трансформатор масляный герметичный ТМГ-160/10-УХЛ1 10/0,4 У/Ун-0;221524;;
Трансформатор масляный герметичный ТМГ-250/10-УХЛ1 10/0,4 У/Ун-0;221525;;
Трансформатор масляный герметичный ТМГ-400/10-УХЛ1 10/0,4 У/Ун-0;221526;;
Трансформатор масляный герметичный ТМГ-630/10-УХЛ1 10/0,4 У/Ун-0;221527;;
Трансформатор масляный герметичный ТМГ-1000/10-УХЛ1 10/0,4 У/Ун-0;221528;;
не использовать Трансформатор масляный герметичный ТМГ-1250/10-УХЛ1 10/0,4 У/Ун-0;221529;;
не использовать Трансформатор масляный герметичный ТМГ-1600/10-УХЛ1 10/0,4 У/Ун-0;221530;;
не использовать Трансформатор масляный герметичный ТМГ-100/6-УХЛ1 6/0,4 Д/Ун-11;221531;;
Трансформатор масляный герметичный ТМГ-160/6-УХЛ1 6/0,4 Д/Ун-11;221532;;
не использовать Трансформатор масляный герметичный ТМГ-250/6-УХЛ1 6/0,4 Д/Ун-11;221533;;
не использовать Трансформатор масляный герметичный ТМГ-400/6-УХЛ1 6/0,4 Д/Ун-11;221534;;
не использовать Трансформатор масляный герметичный ТМГ-630/6-УХЛ1 6/0,4 Д/Ун-11;221535;;
Трансформатор масляный герметичный ТМГ-1000/6-УХЛ1 6/0,4 Д/Ун-11;221536;;
не использовать Трансформатор масляный герметичный ТМГ-1250/6-УХЛ1 6/0,4 Д/Ун-11;221537;;
не использовать Трансформатор масляный герметичный ТМГ-1600/6-УХЛ1 6/0,4 Д/Ун-11;221538;;
не использовать Трансформатор масляный герметичный ТМГ-100/10-УХЛ1 10/0,4 Д/Ун-11;221539;;
не использовать Трансформатор масляный герметичный ТМГ-160/10-УХЛ1 10/0,4 Д/Ун-11;221540;;
Трансформатор масляный герметичный ТМГ-250/10-УХЛ1 10/0,4 Д/Ун-11;221541;;
Трансформатор масляный герметичный ТМГ-400/10-УХЛ1 10/0,4 Д/Ун-11;221542;;
не использовать Трансформатор масляный герметичный ТМГ-630/10-УХЛ1 10/0,4 Д/Ун-11;221543;;
Трансформатор масляный герметичный ТМГ-1000/10-УХЛ1 10/0,4 Д/Ун-11;221544;;
