Наименование;Артикул;Замена;АЗамена
Выключатель автоматический АП50Б-2МН-4А-10Iн-400AC-РМН400AC-IP54Ф-У2-КЭАЗ;106875;;
Выключатель автоматический АП50Б-2МН-1,6А-3,5Iн-400AC-РМН400AC-IP54Ф-У2-КЭАЗ;106892;;
Выключатель автоматический АП50Б-2МТ-2,5А-10Iн-400AC/220DC-2П-IP54Ф-У2-КЭАЗ;107040;;
Выключатель автоматический АП50Б-2МТ-16А-10Iн-400AC/220DC-2П-IP54Ф-У2-КЭАЗ;107067;;
Выключатель автоматический АП50Б-2МТ-25А-10Iн-400AC/220DC-2П-IP54Ф-У2-КЭАЗ;107068;;
Выключатель автоматический АП50Б-2МТ-6,3А-10Iн-400AC/220DC-1П-IP54Ф-У2-КЭАЗ;107071;;
Выключатель автоматический АП50Б-2МТ-1,6А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107072;;
Выключатель автоматический АП50Б-2МТ-16А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107074;;
Выключатель автоматический АП50Б-2МТ-2,5А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107075;;
Выключатель автоматический АП50Б-2МТ-25А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107076;;
Выключатель автоматический АП50Б-2МТ-4А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107077;;
Выключатель автоматический АП50Б-2МТ-6,3А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107078;;
Выключатель автоматический АП50Б-2МТ-10А-3,5Iн-400AC/220DC-2П-IP54Ф-У2-КЭАЗ;107097;;
Выключатель автоматический АП50Б-2МТ-2,5А-3,5Iн-400AC/220DC-2П-IP54Ф-У2-КЭАЗ;107098;;
Выключатель автоматический АП50Б-2МТ-10А-3,5Iн-400AC/220DC-1П-IP54Ф-У2-КЭАЗ;107101;;
Выключатель автоматический АП50Б-2МТ-2,5А-3,5Iн-400AC/220DC-1П-IP54Ф-У2-КЭАЗ;107102;;
Выключатель автоматический АП50Б-2МТ-4А-3,5Iн-400AC/220DC-1П-IP54Ф-У2-КЭАЗ;107103;;
Выключатель автоматический АП50Б-2МТ-1,6А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107105;;
Выключатель автоматический АП50Б-2МТ-10А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107106;;
Выключатель автоматический АП50Б-2МТ-2,5А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107108;;
Выключатель автоматический АП50Б-2МТ-25А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107109;;
