Разъединитель РП;Медь и полимер в РП;Собственно сами держатели предохранителей из меди, на всех габаритах. Токоведущие части тоже. Изоляция полимерная;
Блок механизированного включения BMV;Варианты исполнений;"03 – Тип элемента питания – АКБ (1200 мА⋅ч, 12 В). Тип разъема для подключения к БУ − 2РМ
04 – Тип элемента питания – АКБ (2400 мА⋅ч, 12 В), отсутствует генератор. Тип разъема для подключения к БУ − 2РМ
"ПМЛ-4160ДМ; ПМЛ-5160М1; ПМЛ-5160ДМ";3D-модель;"3D-модель ПМЛ-4160ДМ; ПМЛ-5160М1; ПМЛ-5160ДМ";https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b52dc1f1eb550fd233336_3dpml_4160dm_5160m1_5160dm.step
"ПМЛ-4560ДМ; ПМЛ-5560ДМ";3D-модель;"3D-модель ПМЛ-4560ДМ; ПМЛ-5560ДМ";https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b52f795add552c27bb61e_3dpml_4560dm_5560dm.step
ПМЛ-5165ДМ;3D-модель;3D-модель ПМЛ-5165ДМ;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b530e90fa7bdc40e4708c_3dpml_5165dm.step
ПМЛ-6500;3D-модель;3D-модель ПМЛ-6500;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b5320505690ae762c5c5b_3dpml_6500.step
ПМЛ-7500;3D-модель;3D-модель ПМЛ-7500;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b533695add552c27bb631_3dpml_7500.step
ПМЛ-8100;3D-модель;3D-модель ПМЛ-8100;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b53499029022d8de7cd7e_3dpml_8100.step
ПМЛ-8100Д;3D-модель;3D-модель ПМЛ-8100Д;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b53569029023014e7cd4e_3dpml_8100d.step
ПМЛ-8500;3D-модель;3D-модель ПМЛ-8500;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b53651f1eb550a7233385_3dpml_8500.step
ПМЛ-9100(Д);3D-модель;3D-модель ПМЛ-9100(Д);https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b5382493639428b937578_3dpml_9100d.step
ПМЛ-9500(Д);3D-модель;3D-модель ПМЛ-9500(Д);https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b5396e010db902c3f3361_3dpml_9500d.step
"ПМЛ-М2100(1); ПМЛ-М3100(1)";3D-модель;"3D-модель ПМЛ-М2100(1); ПМЛ-М3100(1)";https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b53ae068ff09431626019_3dpml_m21001_m31001.step
ПМЛ-1210(Д);3D-модель;3D-модель ПМЛ-1210(Д);https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b53c2068ff091746260a7_3dpuskatel_pml_1210d.step
ПМЛ-1220(Д);3D-модель;3D-модель ПМЛ-1220(Д);https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b53d3d04688de3df9c86c_3dpuskatel_pml_1220d.step
ПМЛ-1230(Д);3D-модель;3D-модель ПМЛ-1230(Д);https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b53e44936393f7d9376be_3dpuskatel_pml_1230d.step
ПМЛ-1160М(0)1);3D-модель;3D-модель ПМЛ-1160М(0)1);https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b53f902848f3117221d2c_pml_1160m01.step
ПМЛ-1161ДМ(1); 3D-модель;3D-модель ПМЛ-1161ДМ(1);
ПМЛ-1501; 3D-модель; 3D-модель ПМЛ-1501;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b541c6d2d734e90dd56f6_pml_1501.step
ПМЛ-2165М; 3D-модель; 3D-модель ПМЛ-2165М;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b542d493639428b9375e9_pml_2165m.step
ПМЛ-2561ДМ; 3D-модель; 3D-модель ПМЛ-2561ДМ;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b543f49af474c3de764e7_pml_2561dm.step
ПМЛ-4165М; 3D-модель; 3D-модель ПМЛ-4165М;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b546495add553607bb5a0_pml_4165m.step
ПМЛ-6100; 3D-модель; 3D-модель ПМЛ-6100;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F690b547290fa7bdc72e470df_pml_6100.step
Ре19;Виды привода;"Вид ручного привода: 1 – центральная рукоятка; 2 – боковая рукоятка; 4 – передняя смещенная рукоятка; 5 – боковая смещенная рукоятка; 6 – рычаг для пополюсного оперирования штангой; 7 - рукоятка для пополюсного оперирования; 9 – центральный рычаг для управления штангой
";
