110542;Контактор ПМЛ-1100-10А-42AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 75
149 | Габариты изделия: Глубина (мм) = 81"
110543;Контактор ПМЛ-1100-10А-48AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 75
149 | Габариты изделия: Глубина (мм) = 81"
110544;Контактор ПМЛ-1100-10А-660AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 75
149 | Габариты изделия: Глубина (мм) = 81"
110545;Контактор ПМЛ-1160ДМ-16А-110AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 7.5
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 32
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 74
149 | Габариты изделия: Глубина (мм) = 87"
110546;Контактор ПМЛ-1160ДМ-16А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 7.5
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 32
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 74
149 | Габариты изделия: Глубина (мм) = 87"
110547;Контактор ПМЛ-1160ДМ-16А-36AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 7.5
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 32
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 74
149 | Габариты изделия: Глубина (мм) = 87"
110548;Контактор ПМЛ-1160ДМ-16А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 7.5
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 32
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 74
149 | Габариты изделия: Глубина (мм) = 87"
110549;Контактор ПМЛ-1160ДМ-16А-48AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 7.5
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 32
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 74
149 | Габариты изделия: Глубина (мм) = 87"
110550;Контактор ПМЛ-1160М-10А-110AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 75
149 | Габариты изделия: Глубина (мм) = 81"
110551;Контактор ПМЛ-1160М-10А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 75
149 | Габариты изделия: Глубина (мм) = 81"
110552;Контактор ПМЛ-1160М-10А-24AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 75
149 | Габариты изделия: Глубина (мм) = 81"
110553;Контактор ПМЛ-1160М-10А-36AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 75
149 | Габариты изделия: Глубина (мм) = 81"
110554;Контактор ПМЛ-1160М-10А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 75
149 | Габариты изделия: Глубина (мм) = 81"
110555;Контактор ПМЛ-1160М-10А-42AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 46
148 | Габариты изделия: Высота (мм) = 75
149 | Габариты изделия: Глубина (мм) = 81"
110556;Контактор ПМЛ-1500-10А-110AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110557;Контактор ПМЛ-1500-10А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110558;Контактор ПМЛ-1500-10А-24AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110559;Контактор ПМЛ-1500-10А-36AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
