product_id;product_category_id;title;description;measure;measure_rate;price_without_vat;price_with_vat;barcode;package_barcode;package_quantity;weight;volume;product_page_url;main_img_url;content;status;package_width;package_height;package_depth;
40660;35385;'Предохранитель PC73UD13C500TF-(N300507A)-KEAZ-FERRAZ';'Предохранитель с номинальным током 500 А.';шт;1.00;179364.00;215236.80;3605340329506;3605340329506;1;1.1000;0.00290000;https://keaz.ru/catalog/product/40660;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
40810;35385;'Микровыключатель MC6,3GR2-5N-(Y310015C)-KEAZ-FERRAZ';'Предохранитель с номинальным током 10 А.';шт;1.00;19313.00;23175.60;3605340357721;;3;0.0053;0.00001230;https://keaz.ru/catalog/product/40810;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
41480;35385;'Предохранитель DIIGG50V25-(X212540E)-KEAZ-FERRAZ';'Предохранитель с номинальным током 25 А.';шт;1.00;820.00;984.00;8430399024240;;25;0.0690;0.00003025;https://keaz.ru/catalog/product/41480;https://files.keaz.ru/f/8280/ferraz.png;;Z;55;125;110
41481;35385;'Предохранитель FR14GG50V32-(W216656J)-KEAZ-FERRAZ';'Предохранитель с номинальным током 32 А.';шт;1.00;1908.00;2289.60;8430399008349;;10;0.0500;0.00001000;https://keaz.ru/catalog/product/41481;https://files.keaz.ru/f/9888/fr.png;;Z;0;0;0
41656;35385;'Предохранитель DIIGG50V16-(K201765E)-KEAZ-FERRAZ';'Предохранитель с номинальным током 16 А.';шт;1.00;820.00;984.00;8430399024226;;25;0.0280;0.00002660;https://keaz.ru/catalog/product/41656;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
41657;35385;'Предохранитель DIIIGG50V35-(C214063E)-KEAZ-FERRAZ';'Предохранитель с номинальным током 35 А.';шт;1.00;1414.00;1696.80;8430399024257;;25;0.0510;0.00050000;https://keaz.ru/catalog/product/41657;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
41660;35385;'Предохранитель DIIIGG50V50-(K214576M)-KEAZ-FERRAZ';'Предохранитель с номинальным током 50 А.';шт;1.00;1414.00;1696.80;8430399024264;;25;0.0520;0.00050000;https://keaz.ru/catalog/product/41660;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
41665;35385;'Предохранитель FR14AM50V32-(M222214J)-KEAZ-FERRAZ';'Предохранитель с номинальным током 32 А.';шт;1.00;1998.00;2397.60;8430399008752;;10;0.0210;0.00001000;https://keaz.ru/catalog/product/41665;https://files.keaz.ru/f/9888/fr.png;;Z;0;0;0
41666;35385;'Предохранитель FR14AM50V40-(Q200758J)-KEAZ-FERRAZ';'Предохранитель с номинальным током 40 А.';шт;1.00;2303.00;2763.60;8430399008769;;10;0.0190;0.00001000;https://keaz.ru/catalog/product/41666;https://files.keaz.ru/f/9888/fr.png;;Z;0;0;0
41667;35385;'Предохранитель FR14AM40V50-(E211558J)-KEAZ-FERRAZ';'Предохранитель с номинальным током 50 А.';шт;1.00;2250.00;2700.00;8430399008783;;10;0.0210;0.00001000;https://keaz.ru/catalog/product/41667;https://files.keaz.ru/f/9888/fr.png;;Z;0;0;0
41674;35385;'Предохранитель PC30UD69V125A-(H300111C)-KEAZ-FERRAZ';'Предохранитель с номинальным током 125 А.';шт;1.00;73215.00;87858.00;;3605340323566;3;0.2733;0.00050000;https://keaz.ru/catalog/product/41674;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
41675;35385;'Предохранитель PC30UD69V250A-(L300114C)-KEAZ-FERRAZ';'Предохранитель с номинальным током 250 А.';шт;1.00;90639.00;108766.80;;3605340323597;3;0.2733;0.00067000;https://keaz.ru/catalog/product/41675;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
41677;35385;'Предохранитель PC30UD69V450A-(A300403C)-KEAZ-FERRAZ';'Предохранитель с номинальным током 450 А.';шт;1.00;132396.00;158875.20;3605340327885;;3;0.2733;0.00036000;https://keaz.ru/catalog/product/41677;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
42583;35385;'Предохранитель NH1GG50V160-(A218247C)-KEAZ-FERRAZ';'Предохранитель с номинальным током 160 А.';шт;1.00;10996.00;13195.20;;8430399001784;3;0.4166;0.07680000;https://keaz.ru/catalog/product/42583;https://files.keaz.ru/f/3411/nh.png;;Z;125;70;140
42737;35385;'Предохранитель TRM2-(S200852J)-KEAZ-FERRAZ';'Предохранитель с номинальным током 2 А.';шт;1.00;9872.00;11846.40;782001743291;;10;0.0065;0.00004000;https://keaz.ru/catalog/product/42737;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
43205;35385;'Предохранитель DN00UB69V250L-(J330242C)-KEAZ-FERRAZ';'Предохранитель с номинальным током 250 А.';шт;1.00;55715.00;66858.00;3605340363821;;3;0.2026;0.00080000;https://keaz.ru/catalog/product/43205;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
43435;35385;'Предохранитель PC73UD95V11CTF-(W300514A)-KEAZ-FERRAZ';'Предохранитель с номинальным током 1100 А.';шт;1.00;277895.00;333474.00;3605340329643;3605340329643;1;1.2200;0.00028000;https://keaz.ru/catalog/product/43435;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
43437;35385;'Держатель SIDN1101250A-(L091941A)-KEAZ-FERRAZ';'Предохранитель с номинальным током 1250 А.';шт;1.00;140499.00;168598.80;3605340105827;3605340105827;1;1.0640;0.00005950;https://keaz.ru/catalog/product/43437;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
43552;35385;'Предохранитель DN00UB69V350L-(L330244C)-KEAZ-FERRAZ';'Предохранитель с номинальным током 350 А.';шт;1.00;58154.00;69784.80;3605340363845;;3;0.1300;0.00080000;https://keaz.ru/catalog/product/43552;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
43726;35385;'Предохранитель FR14GG50V40-(X218198J)-KEAZ-FERRAZ';'Предохранитель с номинальным током 40 А.';шт;1.00;1329.00;1594.80;8430399008356;;10;0.0500;0.00001000;https://keaz.ru/catalog/product/43726;https://files.keaz.ru/f/9888/fr.png;;Z;0;0;0
43732;35385;'Предохранитель NH000GG50V25-(E201185H)-KEAZ-FERRAZ';'Предохранитель с номинальным током 25 А.';шт;1.00;3393.00;4071.60;;4086500083060;9;0.1238;0.00040000;https://keaz.ru/catalog/product/43732;https://files.keaz.ru/f/3411/nh.png;;Z;0;0;0
43743;35385;'Предохранитель NH000GG50V50-(T212974H)-KEAZ-FERRAZ';'Предохранитель с номинальным током 50 А.';шт;1.00;3393.00;4071.60;;4086500083107;9;0.1238;0.00020000;https://keaz.ru/catalog/product/43743;https://files.keaz.ru/f/3411/nh.png;;Z;0;0;0
45137;35385;'Микровыключатель MS7V1-5UR-(Z310039C)-KEAZ-FERRAZ';'Предохранитель с номинальным током 10 А.';шт;1.00;25121.00;30145.20;3605340358025;;3;0.0040;0.00004900;https://keaz.ru/catalog/product/45137;https://files.keaz.ru/f/8280/ferraz.png;;Z;0;0;0
