Наименование;Артикул
Выключатель АК50Б-2МГОМ2, 50Гц, 5А, 12Iн, IP54 (с сальниками), условие - 01, ТУ16-522.136-78;232590
Выключатель АК50Б-2МГОМ3, постоянный, 10А, 12Iн, ТУ16-522.136-78;147868
Выключатель АК50Б-2МГОМ3, постоянный, 10А, 12Iн, условие - 01, ТУ16-522.136-78;104894
Выключатель АК50Б-2МГОМ3, постоянный, 16А, 12Iн, ТУ16-522.136-78;232361
Выключатель АК50Б-2МГОМ3, постоянный, 2А, 12Iн, ТУ16-522.136-78;147869
Выключатель АК50Б-2МГОМ3, постоянный, 20А, 12Iн, ТУ16-522.136-78;252833
Выключатель АК50Б-2МГОМ3, постоянный, 20А, 12Iн, условие - 01, ТУ16-522.136-78;264451
Выключатель АК50Б-2МГОМ3, постоянный, 25А, 12Iн, ТУ16-522.136-78;292029
Выключатель АК50Б-2МГОМ3, постоянный, 25А, 12Iн, условие - 01, ТУ16-522.136-78;104896
Выключатель АК50Б-2МГОМ3, постоянный, 31,5А, 12Iн, ТУ16-522.136-78;104897
Выключатель АК50Б-2МГОМ3, постоянный, 4А, 12Iн, ТУ16-522.136-78;284479
Выключатель АК50Б-2МГОМ3, постоянный, 40А, 12Iн, ТУ16-522.136-78;219781
Выключатель АК50Б-2МГОМ3, постоянный, 40А, 12Iн, условие - 01, ТУ16-522.136-78;219803
Выключатель АК50Б-2МГОМ3, постоянный, 50А, 12Iн, ТУ16-522.136-78;112143
Выключатель АК50Б-2МГОМ3, постоянный, 50А, 12Iн, условие - 01, ТУ16-522.136-78;129883
Выключатель АК50Б-2МГОМ3, постоянный, 6,3А, 12Iн, ТУ16-522.136-78;292410
Выключатель АК50Б-2МГОМ3, постоянный, 6,3А, 12Iн, условие - 01, ТУ16-522.136-78;104899
Выключатель АК50Б-2МГОМ3, 50Гц, 1А, 6Iн, ТУ16-522.136-78;104900
Выключатель АК50Б-2МГОМ3, 50Гц, 1А, 6Iн, условие - 01, ТУ16-522.136-78;104901
Выключатель АК50Б-2МГОМ3, 50Гц, 10А, 6Iн, ТУ16-522.136-78;104906
Выключатель АК50Б-2МГОМ3, 50Гц, 10А, 6Iн, условие - 01, ТУ16-522.136-78;104907
Выключатель АК50Б-2МГОМ3, 50Гц, 16А, 6Iн, ТУ16-522.136-78;104917
Выключатель АК50Б-2МГОМ3, 50Гц, 16А, 6Iн, условие - 01, ТУ16-522.136-78;104916
Выключатель АК50Б-2МГОМ3, 50Гц, 2А, 6Iн, ТУ16-522.136-78;104923
Выключатель АК50Б-2МГОМ3, 50Гц, 2А, 6Iн, условие - 01, ТУ16-522.136-78;104922
Выключатель АК50Б-2МГОМ3, 50Гц, 20А, 6Iн, ТУ16-522.136-78;104929
Выключатель АК50Б-2МГОМ3, 50Гц, 20А, 6Iн, условие - 01, ТУ16-522.136-78;104928
Выключатель АК50Б-2МГОМ3, 50Гц, 25А, 6Iн, ТУ16-522.136-78;104930
Выключатель АК50Б-2МГОМ3, 50Гц, 25А, 6Iн, условие - 01, ТУ16-522.136-78;104931
Выключатель АК50Б-2МГОМ3, 50Гц, 31,5А, 6Iн, ТУ16-522.136-78;104936
Выключатель АК50Б-2МГОМ3, 50Гц, 31,5А, 6Iн, условие - 01, ТУ16-522.136-78;104937
Выключатель АК50Б-2МГОМ3, 50Гц, 4А, 6Iн, ТУ16-522.136-78;104938
Выключатель АК50Б-2МГОМ3, 50Гц, 4А, 6Iн, условие - 01, ТУ16-522.136-78;104939
Выключатель АК50Б-2МГОМ3, 50Гц, 40А, 6Iн, ТУ16-522.136-78;104945
Выключатель АК50Б-2МГОМ3, 50Гц, 40А, 6Iн, условие - 01, ТУ16-522.136-78;104946
Выключатель АК50Б-2МГОМ3, 50Гц, 5А, 6Iн, ТУ16-522.136-78;104954
Выключатель АК50Б-2МГОМ3, 50Гц, 5А, 6Iн, условие - 01, ТУ16-522.136-78;104953
Выключатель АК50Б-2МГОМ3, 50Гц, 50А, 6Iн, ТУ16-522.136-78;104956
Выключатель АК50Б-2МГОМ3, 50Гц, 50А, 6Iн, условие - 01, ТУ16-522.136-78;104957
